epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15973.9,2.17496,3.99799,3.07971,0.51095,0.54985,0.46579,0.38095,0.73366,2.02824,1.61342,0.00333272,0.00333272,0.00333272
2,26224.1,0.92747,2.12664,1.54047,0.64263,0.75636,0.75243,0.67217,0.48288,1.09766,1.21879,0.00660006,0.00660006,0.00660006
3,35969,0.73368,1.59679,1.32226,0.76001,0.82894,0.83488,0.75257,0.39723,0.77127,1.09225,0.0098014,0.0098014,0.0098014
4,45664.8,0.64343,1.31521,1.23656,0.8788,0.90886,0.94288,0.87655,0.3586,0.512,1.02376,0.009703,0.009703,0.009703
5,55425.8,0.57696,1.13126,1.18302,0.92477,0.93682,0.97408,0.92591,0.30302,0.38997,0.97038,0.009604,0.009604,0.009604
6,10921.9,0.53301,0.99507,1.15529,0.95793,0.95442,0.98428,0.93892,0.29299,0.3539,0.94598,0.009505,0.009505,0.009505
7,11441.4,0.49484,0.87201,1.12832,0.96316,0.96435,0.98847,0.94714,0.27665,0.32649,0.92833,0.009406,0.009406,0.009406
8,22026.2,0.49506,0.84837,1.13321,0.97442,0.96868,0.99134,0.95499,0.26379,0.28696,0.91761,0.009307,0.009307,0.009307
9,32301.1,0.47625,0.8036,1.11721,0.97796,0.97977,0.99224,0.95385,0.26648,0.28239,0.91502,0.009208,0.009208,0.009208
10,42555.1,0.4694,0.76171,1.11505,0.98215,0.97725,0.99323,0.96251,0.25549,0.26253,0.9045,0.009109,0.009109,0.009109
11,10260.3,0.44685,0.72157,1.10156,0.98106,0.97688,0.99287,0.96399,0.24761,0.25209,0.89473,0.00901,0.00901,0.00901
12,19755.6,0.44583,0.69697,1.10297,0.98052,0.98841,0.99351,0.96549,0.24482,0.23612,0.88816,0.008911,0.008911,0.008911
13,29203.1,0.43639,0.68282,1.09312,0.98322,0.98609,0.99372,0.96544,0.24586,0.23391,0.88917,0.008812,0.008812,0.008812
14,38735.3,0.4322,0.65671,1.09342,0.98423,0.9873,0.99422,0.9702,0.24017,0.22657,0.87701,0.008713,0.008713,0.008713
15,48274.1,0.43574,0.67439,1.09499,0.98474,0.98891,0.99418,0.97182,0.23222,0.21759,0.87161,0.008614,0.008614,0.008614
16,57738.4,0.43049,0.63474,1.09422,0.9852,0.98578,0.99405,0.97253,0.21946,0.21662,0.85732,0.008515,0.008515,0.008515
17,67496.4,0.42344,0.62787,1.08653,0.98767,0.99094,0.99443,0.97401,0.21742,0.2049,0.85767,0.008416,0.008416,0.008416
18,77333,0.42,0.61969,1.08832,0.98504,0.99326,0.99441,0.9768,0.21319,0.19771,0.85249,0.008317,0.008317,0.008317
19,11271.9,0.4054,0.58767,1.0782,0.98989,0.99036,0.99452,0.97651,0.21726,0.19739,0.8558,0.008218,0.008218,0.008218
20,21667.7,0.41026,0.57775,1.08181,0.98922,0.98893,0.99441,0.97716,0.21263,0.19858,0.85047,0.008119,0.008119,0.008119
21,32142.3,0.40152,0.57814,1.07285,0.98573,0.99191,0.99456,0.97644,0.21009,0.19088,0.84586,0.00802,0.00802,0.00802
22,42479.3,0.40338,0.55773,1.07567,0.99379,0.98858,0.99469,0.9778,0.2122,0.19066,0.84695,0.007921,0.007921,0.007921
23,52448,0.40145,0.5695,1.07381,0.99325,0.99262,0.99483,0.97962,0.20714,0.18178,0.84189,0.007822,0.007822,0.007822
24,62404.2,0.39737,0.54073,1.07411,0.99132,0.99196,0.99477,0.98021,0.20659,0.18129,0.84193,0.007723,0.007723,0.007723
25,72422.9,0.39469,0.53844,1.06882,0.99253,0.99152,0.99481,0.97954,0.20653,0.17948,0.8427,0.007624,0.007624,0.007624
26,82743.5,0.39287,0.54036,1.07251,0.99241,0.98832,0.99465,0.98007,0.20198,0.178,0.8369,0.007525,0.007525,0.007525
27,93106.4,0.39827,0.54512,1.07133,0.9925,0.99077,0.99473,0.9797,0.20013,0.17791,0.83584,0.007426,0.007426,0.007426
28,103044,0.39386,0.54085,1.06961,0.99401,0.99033,0.9947,0.98064,0.19877,0.17133,0.83427,0.007327,0.007327,0.007327
29,112991,0.38848,0.51713,1.06755,0.99415,0.99143,0.99472,0.98106,0.19746,0.16832,0.83125,0.007228,0.007228,0.007228
30,122983,0.38953,0.52331,1.06745,0.9944,0.9923,0.99477,0.98191,0.19588,0.16731,0.82881,0.007129,0.007129,0.007129
31,132919,0.39048,0.51599,1.06742,0.99149,0.99497,0.99481,0.98204,0.196,0.16567,0.82884,0.00703,0.00703,0.00703
32,142959,0.38213,0.50498,1.0633,0.98953,0.99688,0.99478,0.98284,0.19373,0.16418,0.82734,0.006931,0.006931,0.006931
